"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"11",11,"HED_11",1,"Bartonella","henselae","Unspecified","Unspecified","CSD, endocarditis, BA, bacillary peliosis","Oklahoma City, OK","1",1,"GGv2. ""Oklahoma City, US, Oklahoma""","GGv2. ""Oklahoma City, US, Oklahoma""","yes",1,1,1,"bacteria","Transmission from cats to humans usually occurs via a scratch or bite and is due to the presence of the bacterium on claws and/or in the oral cavity","animal scratch","direct contact","None","None","n","","domestic cat","1987",1987,"1980","Slater LN, Welch DF, Hensel D, Coody DW. A newly recognized fastidious gram-negative pathogen as a cause of fever and bacteremia. N Engl J Med 1990;323:1587-1593","","Lashley p. 46; IOM 2003","immunocompetency; new diagnostic tools","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","new diagnostic tools","None","domestic cat, dog (?)","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_11.shp",FALSE
"12",12,"HED_12",0,"Bartonella","quintana","Unspecified","Unspecified","Classic trench fever, urban trench fever, endocarditis, BA, bacillary peliosis","Seattle","1",1,"GGv2. ""Seattle, US, Washington""","GGv2. ""Seattle, US, Washington""","no",0,0,0,"bacteria","lice-borne","arthropod-borne","vector","None","None","","","lice","late 80s",1980,"1980","Relman D.A., Has trench fever returned? [editorial; comment], New Engl. J. Med. 332 (1995) 463 p. Karem KL, Paddock CD, Regnery RL Bartonella henselae, B-quintana, and B bacilliformis: historical pathogens of emerging significance MICROBES INFECT 2 (10): 1193-1205 AUG 2000. Comer 2001","reemergence","Schmidt A. Bartonella species as emerging pathogens. P32-64.  (Birtles RJ and Raoult D. The genera Afipia and Bartonella. Basel: Karger AG, 1998. Pretorius AM, Kelly PJ, Birtles RJ, et al.Are Bartonella emerging and re-emerging pathogens in Southern Africa?S AFR MED J 90 (6): 566-566 JUN 2000","reemerging of homeless people and refugees","homeless and refugee populations","international travel and commerce","international travel and commerce","international travel and commerce","None","None","None","Unspecified","Unspecified","Unspecified","",0,0,1,1,"HED_12.shp",FALSE
"13",13,"HED_13",1,"Bartonella","quintana","Unspecified","Unspecified","Classic trench fever, urban trench fever, endocarditis, BA, bacillary peliosis","Mexico City","1",1,"GGv2. ""Mexico, Mexico, Estado de Mexico""","GGv2. ""Mexico, Mexico, Estado de Mexico""","no",0,0,0,"bacteria","lice-borne","arthropod-borne","vector","None","None","","","lice","late 1960s",1960,"1960","Relman D.A., Has trench fever returned? [editorial; comment], New Engl. J. Med. 332 (1995) 463 p.","reemergence","Relman D.A., Has trench fever returned? [editorial; comment], New Engl. J. Med. 332 (1995) 463 p. Pretorius AM, Kelly PJ, Birtles RJ, et al.Are Bartonella emerging and re-emerging pathogens in Southern Africa?S AFR MED J 90 (6): 566-566 JUN 2000","reemerging of homeless people and refugees","homeless and refugee populations","international travel and commerce","international travel and commerce","international travel and commerce","None","None","None","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_13.shp",FALSE
"14",14,"HED_14",1,"Bartonella","quintana","Unspecified","Unspecified","Classic trench fever, urban trench fever, endocarditis, BA, bacillary peliosis","Poland trenches","3",1,"ESRICountry. ""Poland""","Country name ""Poland""","no",0,0,0,"bacteria","lice-borne","arthropod-borne","vector","None","None","","","lice","1949",1949,"1940","Kostrzewski J. 1949. Bull int Acad pol sci lett, Cl. Med. 7/10, 233. Vinson, JW 1966. In vitro cultivation of the rickettsial agent of trench fever. Bull. WHO 35:155–164.","reemergence","Birtles RJ, Raoult D. The genera Afipia and Bartonella. P. 1-31 In: Bartonella and Afipia species emphasizing bartonella henselae ed. A Schmidt Contributions to Microbiology Vol. 1 1998. Karger: Basel","WW2","military","international travel and commerce","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Unspecified","Aside from the classic endemic areas of trench fever in Poland (Kostrzewski 1949) and the USSR (Zdrodovskij & Golinevich 1960), cases of the infection have or small circumscribed epidemics have been recorded in Ethiopia (Codeleoncini 1946) and Tunisia (Sparrow 1961); Vinson, JW 1966. In vitro cultivation of the rickettsial agent of trench fever. Bull. WHO 35:155–164",0,1,1,0,"HED_14.shp",FALSE
"15",15,"HED_15",0,"Bartonella","quintana","Unspecified","Unspecified","Classic trench fever, urban trench fever, endocarditis, BA, bacillary peliosis","western front in France -- see map","3",1,"ESRICountry00. ""France""","Country name ""France""","no",0,0,0,"bacteria","lice-borne","arthropod-borne","vector","None","None","","","lice","01-Dec-14",1914,"1910","Byam W et al. Trench fever: a louse-borne disease. London, oxford university press, 1919. Raoult D, Roux V. The body louse as a vector of reemerging human diseases. Clin Infect Dis 1999; 29:888–911. Pretorius AM, Kelly PJ, Birtles RJ, Raoult D. Are Bartonella emerging and re-emerging pathogens in southern Africa? S Afr Med J. 2000 Jun;90(6):566. Peacock, AD. The louse problem at the Western Front. Br Med J 1916; 1:745–749.","","Birtles RJ, Raoult D. The genera Afipia and Bartonella. P. 1-31 In: Bartonella and Afipia species emphasizing bartonella henselae ed. A Schmidt Contributions to Microbiology Vol. 1 1998. Karger: Basel. Relman D.A., Has trench fever returned? [editorial; comment], New Engl. J. Med. 332 (1995) 463 p.","war (WW1, then a bit less in WW2)","military","international travel and commerce","war and famine","war and famine","None","None","None","Unspecified","Unspecified","Unspecified","",0,0,0,0,"HED_15.shp",FALSE
"16",16,"HED_16",1,"Bordetella","pertussis","Unspecified","Unspecified","Unspecified","USA","3",1,"ESRICountry00. ""US""","Country name ""United States""","no",0,0,0,"bacteria","Primarily by direct contact with discharges from respiratory mucous membranes of infected persons by the airborne route, probably by droplets.  Frequently brought home by an older sibling and sometimes a parent.","direct airborne (droplet or mucous discharges)","direct contact","None","None","","","None","1982",1982,"1980","Karras 2002, Bass JW. PIDJ 13(5): 343-345 1994; Simondon F, Guiso N. International epidemiology of whooping cough. MEDECINE ET MALADIES INFECTIEUSES. 31: 5S-11S Suppl. 1 MAR 2001","reemergence","Simondon F. Med et Mal. 2001. 31 Supp 1: 5-11","epidemiological changes associated with vaccination, impact on the increased role of adults in the transmission, and the possible lower efficacy of the vaccines","vaccine efficacy","technology and industry","medical industry changes","medical industry changes","None","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_16.shp",FALSE
"17",17,"HED_17",1,"Borrelia","bugdorferi","Unspecified","Unspecified","Lyme disease","Great Island, MA","3",1,"ESRICounties. ""Barnstable, MA, USA""","ESRICounties. ""Barnstable, MA, USA""","yes",1,1,2,"bacteria","tick-borne","arthropod-borne","vector","None","None","","","tick","1962",1962,"1960","Steere 1986","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issues 1996 Gubler 1998 EID","reforestation and consequent proliferation of deer; housing development in wooded areas; increase in deer and human populations in wooded areas. Urbanization","reforestation","economic development and land use","reforestation","land use change","housing developments in wooded areas","urbanization","wild rodents, especially Peromyscus spp. In NE and midwest USA And Neotoma spp. In western USA maintain the enzootic cycle; deer serve as important mammalian hosts for vector tick species","in US (Atlantic coastal states from ME to GA, upper midwestern states concentrated in MN and WI, and CA and OR); Europe, Canada, Japan, Australia, China, and the Commonwealth of Independent States","Unspecified","Taylor et al.","",1,1,1,0,"HED_17.shp",TRUE
"18",18,"HED_18",1,"Brucella","melitensis","Unspecified","Unspecified","Unspecified","Malta and Gozo","3",2,"DCWIslands. ""Malta, Gozo""","DCWIslands. ""Malta, Gozo""","yes",1,1,3,"bacteria","By contact with tissues, blood, urine, vaginal discharges, aborted fetuses and especially placentas (through breaks in the skin); food-borne (ingestion of raw milk and dairy products from infected animals); airborne infection can occur in laboratories and abbatoirs","direct contact","direct contact","ingestion of contaminated food","airborne","","","None","1995",1995,"1990","Amato AJ. Maltese Med J. 1995. 7:7-8.","","Amato AJ. Maltese Med J. 1995. 7:7-8.","farmers hiding herds from public health vet inspectors","farming practices","technology and industry","agricultural industry changes","agricultural industry changes","breakdown of public health measures","None","cattle, swine, sheep, goats; infection may occur in bison, elk, caribou and some species of deer","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_18.shp",TRUE
"19",19,"HED_19",1,"Burkholderia","cepacia","Unspecified","Unspecified","Unspecified","Cleveland and Toronto","1",2,"GGv2. ""Toronto, Province d'Ontario, Edinburg, UK"".","GGv2.  ""Cleveland, US, Ohio"" ""Toronto, Province d'Ontario, Canada""","no",0,0,0,"bacteria","B. cepacia is a very hardy organism and can live for a very long time if kept in moist environments; for example, it can survive for several weeks on sputum–contaminated surfaces and for years in water. the fact that CF individuals can become sporadically colonised by unique strains of B. cepacia even in clinics where the organism has previously been absent, or where strict infection control measures are exercised, suggests that acquisition of B. cepacia from the environment is possible.","indirect water","indirect contact","indirect fomite","None","","nosocomial","None","1981",1981,"1980","Goldmann D, Klinger J. Pseudomonas cepacia: Biology, mechanisms of virulence, epidemiology. J Pediatr 1986;108:806-12. Thomassen MJ, Demko C, Klinger, J, Stern, R. Pseudomonas cepacia colonization among patients with cystic fibrosis—a new opportunist. Am Rev Respir Dis 1985;131:791-6. Sun et al. The emergence of a highly transmissible lineage of cbl+ Pseudomonas (Burkholderia) cepacia causing CF centre epidemics in North America and Britain. Nat Med 1995;1:661-6.","","Unspecified","nosocomial infection associated with cystic fibrosis (CF) and chronic granulomatous disease [4 ]","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","None","Unspecified","Unspecified","Geiger AM et al Burkholderia/Stenotrophomonas p 20-34 in: A Schmidt Emerging Bact Path. Contr to Mcro. Vol. 8 2001. Karger: Basel","",1,1,1,1,"HED_19.shp",FALSE
"20",20,"HED_20",1,"Burkholderia","pseudomallei","Unspecified","Unspecified","Melioidosis","Dapoli Taluka, Ratnagiri District, Maharashtra state, India","1",1,"GGv2. ""Dapoli, India, State of Maharashtra""","GGv2. ""Dapoli, India, State of Maharashtra""","yes",1,1,3,"bacteria","Acquired by ingestion, inhalation or contact of abraded, wounded or burned skin with contaminated water or soil","Direct contact of contaminated soil","direct contact","Ingestion of contaminated water","Inhalation of organism","rare","","None","1990",1990,"1990","Ind J Med Res. 1996. 103:4-18; 62-65. Jesudason MV; Shanthakumari R; John TJ; Mary V Jesudason; T Jacob John Burkholderia pseudomallei : an emerging pathogen in India.  Indian Journal of Medical Microbiology. 1997 Jan; 15(1): 1-2","emergence","Dance, D. A. B. 1991. Melioidosis: tip of the iceberg? Clin. Microbiol. Rev. 4:52-60. Dance DA. Melioidosis as an emerging global problem. Acta Trop. 2000 Feb 5;74(2-3):115-9.","rainy season; increasing world wide travel of both humans and other animals","travel","international travel and commerce","international travel and commerce","international travel and commerce","climatic events","None","sheep, goats, horses, swine, monkey and rodents","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_20.shp",TRUE
"21",21,"HED_21",1,"Burkholderia","pseudomallei","Unspecified","Unspecified","Melioidosis","northeastern provinces known as the Isan Region, Thailand","3",1,"ESRIAdmin00. ""Provinces of Isan, Thailand""","ESRIAdmin00. ""Provinces of Isan, Thailand""","yes",1,1,3,"bacteria","Acquired by ingestion, inhalation or contact of abraded, wounded or burned skin with contaminated water or soil","Direct contact of contaminated soil","direct contact","Ingestion of contaminated water","Inhalation of organism","rare","","None","2003ish",2003,"2000","unspecified","","BURKHOLDERIA PSEUDOMALLEI: ANOTHER EMERGING PATHOGEN IN CYSTIC FIBROSIS? MR O'Carroll1, TJ Kidd2, C Coulter2, H Smith3, B Rose4, C Harbour4, SC Bell.1","cystic fibrosis and travel","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","travel","None","sheep, goats, horses, swine, monkey and rodents","Unspecified","Unspecified","Unspecified","",0,1,1,0,"HED_21.shp",TRUE
"22",22,"HED_22",1,"Burkholderia","pseudomallei","Unspecified","Unspecified","Melioidosis","Cu Chi, Vietnam","1",1,"GGv2. ""Cu Chi, Vietnam""","GGv2. ""Cu Chi, Vietnam""","yes",1,1,3,"bacteria","Acquired by ingestion, inhalation or contact of abraded, wounded or burned skin with contaminated water or soil","Direct contact of contaminated soil","direct contact","Ingestion of contaminated water","Inhalation of organism","rare","","None","1965",1965,"1960","Chodimella U, Hoppes WL, Whalen S, et al. Septicaemia and suppuration in a Vietnam veteran. Hosp Pract 1997; 32: 219-221. Short 2002","","Arch Dis Child 1999;81:2-4 ( July )","war; It appears the bacterium can remain dormant, presumably in macrophages, to re-emerge years later. It is sometimes referred to as the ""Vietnamese time bomb"" as it is currently producing infection in US veterans of the Vietnamese war.","military","international travel and commerce","war and famine","war and famine","None","None","sheep, goats, horses, swine, monkey and rodents","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_22.shp",TRUE
